1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日
77,60,105,62,70,77,46,80,892,315,356,378,576,894,1033,1242,1967,1766,1501
,12,,,,52,58,32,59,111,172,77,153,276,244,176,223,162,90
,,,,22,4,29,45,73,101,125,142,87,121,169,202,342,424,255
,,,,,,7,28,34,61,32,123,61,94,107,84,103,52,51
,,,,,5,31,16,18,46,27,85,76,80,74,183,65,128,81
,,,1,7,13,17,52,24,28,49,36,24,78,16,55,22,86,45
,,,6,2,2,23,14,24,30,50,70,66,46,166,114,100,88,84
,,,,,1,0,19,37,27,39,66,38,51,28,26,50,41,48
,,,,,,,5,17,33,27,55,41,43,82,71,104,57,69
,,,,1,,19,11,20,12,54,50,109,77,39,60,44,67,47
,,,,,,,21,27,21,18,36,40,40,50,52,36,15,44
,,,,1,4,15,20,25,23,31,31,27,35,44,35,27,35,42
,,,,2,8,1,1,15,5,23,35,7,43,29,19,37,40,42
,,,,,11,6,8,13,13,15,9,12,18,6,12,15,6,13
,,,,,3,2,8,10,11,10,23,15,17,16,2,11,10,25
,,,,,,2,1,2,2,12,5,15,8,0,9,10,10,10
,,,,,,2,2,2,7,1,2,0,0,0,3,0,0,0
,,2,2,2,4,8,14,28,54,58,55,14,24,26,49,24,32,25
,,1,0,6,6,15,0,5,19,18,16,13,12,8,14,9,10,5
,,1,5,12,2,1,1,0,18,24,17,14,5,9,6,7,2,5
,,1,3,2,1,7,0,4,3,21,5,9,11,9,27,18,6,10
1,9,4,1,0,5,11,5,21,23,18,36,60,37,38,26,20,25,20
0,0,2,3,2,7,3,24,10,12,31,18,31,29,21,24,25,18,29
0,0,1,0,5,3,1,4,4,3,4,8,6,4,2,4,1,1,7
,,,,,8,7,4,7,5,20,10,5,10,8,15,8,4,7
,,1,1,1,3,14,9,8,3,6,4,6,9,7,13,7,10,10
,,,,1,4,17,1,6,3,10,7,21,18,11,13,26,26,12
,,,,1,3,1,6,4,4,6,11,2,2,7,5,4,3,1
,,,,,2,5,2,1,6,9,5,10,6,12,14,10,16,8
,,1,3,4,0,10,4,2,22,11,11,18,26,13,23,16,15,11
,,,,3,2,1,1,10,9,3,8,8,8,17,13,6,4,14
,,,,3,0,4,5,7,7,4,7,2,3,3,5,6,6,2
,,,,2,0,0,6,3,8,10,7,5,8,2,4,13,6,9
,,,1,1,1,1,13,8,21,21,21,16,6,14,18,13,15,13
,,,,1,1,0,7,7,15,11,11,1,12,9,14,8,6,3
,,1,5,1,4,3,0,3,13,10,11,9,0,16,6,12,11,11
,,,1,1,5,3,0,11,2,5,10,9,12,6,14,5,11,10
,,5,4,18,30,18,35,22,15,35,29,65,28,37,32,32,23,22
,,2,0,5,9,6,11,4,9,13,10,3,1,4,10,5,5,5
,,,1,0,1,3,4,5,8,4,8,2,4,6,8,3,5,9
,,,,2,1,4,3,3,4,5,6,3,7,5,4,3,5,5
,2,14,4,0,13,,11,22,16,12,12,35,12,26,14,19,9,9
,5,5,4,7,7,49,5,19,20,0,28,8,33,13,15,24,25,23
,,,1,3,1,7,4,7,0,6,2,7,5,3,6,2,1,1
,,,,3,0,2,3,5,2,4,10,7,8,8,5,10,4,6
,,2,2,1,4,,14,4,5,5,0,4,6,10,12,7,2,1
